feature_id	feature_family	parent_axis_id	gene_symbol	direction	weight	relative_weight	is_top_gene	source_resource	source_set	source_record	source_sha256	provenance_status
FM01	legacy_fm		ABCD2	1	1228.7461602823896	0.0005527522100812	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		ABHD3	1	10532.287102531394	0.004737955780709	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		ABI3	1	19320.53958711261	0.0086913565241852	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC004585.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC004687.1	1	0.0283377034344428	1.2747733183893867e-08	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC004817.3	1	29.732717145451137	1.3375280953138758e-05	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC004865.2	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC005363.2	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC005837.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC006213.2	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC006369.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC006449.6	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC009779.2	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC010654.1	1	2.4541365000634543	1.1039948022619e-06	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC015912.3	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC017002.3	1	14.774578696777514	6.646353243362801e-06	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC019205.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC020916.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC021054.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC022182.2	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC022706.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC025164.1	1	128.12515887164545	5.763718091052368e-05	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC068196.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC068775.1	1	1217.947300412239	0.0005478943363782	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC078785.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC079341.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC090152.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC091271.1	1	0.2353647243354901	1.0587896488050587e-07	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC092803.2	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC097376.2	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC097534.2	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC099063.4	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC103591.3	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC104506.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC105020.6	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC105446.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC108134.3	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC116366.3	1	4052.697661801434	0.0018231085164382	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC120193.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC133644.2	1	2.644482766429113	1.1896221863508508e-06	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC136475.3	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC139720.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC147067.1	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC242426.2	1	0.01	4.498506102791573e-09	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
FM01	legacy_fm		AC243829.4	1	45.01995915244243	2.025225609946896e-05	False	v6_frozen_lda_topic_membership	lda_topic__rank8__batch__inverse_k__tw0.01	lda_topic__M01	285c11de4b071c45b0ec43464fb963650340c29bb2de3037570578b29ee44036	immutable_legacy_baseline
