feature_id	feature_family	n_expression_units	n_study_families	median_coverage	leave_family_out_median_spearman	leave_family_out_ci_low	leave_family_out_ci_high	matched_null_ci_high	observed_coherence_ci_low	matched_null_permutation_high	observed_coherence_stability_low	technical_status	D2_class	D2_reason	n_patient_timepoints_x	abundance_equal_state_spearman	carrier_dependency_status	n_matched_contexts	n_ambient_units	n_reference_units	ambient_minus_other_median_native	ambient_minus_other_median_z	ambient_metric_scale	ambient_interpretation	ambient_status	n_patient_timepoints_y	n_cohorts	n_platforms	cohort_eta_squared	cohort_status	platform_eta_squared	platform_status	tissue_eta_squared_context_only	library_size_spearman	n_cells_spearman	residualization	status	method_agreement_median_spearman	method_agreement_ci_low	method_agreement_ci_high	method_agreement_status	technical_panel_median_spearman	technical_panel_ci_low	technical_panel_ci_high	n_technical_panel_comparisons	n_negative_technical_panel_comparisons	technical_panel_status	n_components	n_measurable_components	evidence_modality	D2_scope
FM01	legacy_fm	32821	39	0.9992175794034079	0.8095238095238096	0.7785714285714285	0.8389096502784891	0.9175155029018628	0.857965269700813	0.9175155029018628	0.857965269700813	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.936887320387095	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.11970539721685203		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.6707398802485735	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.2160567205058525	0.09342104841139429	0.12426745381582499	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.9915688381646782	0.9871100605768692	0.9932003233535267	PASS	0.972639283086555	0.9049666096018418	0.9809875471261403	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
FM02	legacy_fm	32821	39	0.9953186002554361	0.8017202054626017	0.7175630443516366	0.8549450549450549	0.8583353740860448	0.790585040941688	0.8583353740860448	0.790585040941688	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.8630166988583229	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.34537384939777116		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.8305714775724639	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.062230903960118725	0.18555866121285514	0.18973875267149562	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.9981917600350578	0.9973050961070407	0.9986263736263734	PASS	0.9374117890690944	0.7110736239343343	0.9588880432911084	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
FM03	legacy_fm	32821	39	0.9965402688535437	0.8513519937883076	0.7380952380952381	0.9047619047619048	0.8738942748850067	0.5222574329181693	0.8738942748850067	0.5222574329181693	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.8706650751485184	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.30489257146086857		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.8115027115885071	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.057042592043968804	0.14146939421292873	0.1473810011723782	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.9979421384339774	0.9970829827074309	0.999105494056116	PASS	0.9495217175588994	0.640567409837665	0.9693223599717242	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
FM04	legacy_fm	32821	39	0.9875799921926702	0.8821428571428571	0.7999999999999999	0.9139892367273748	0.8916293096898251	0.7863686242306996	0.8916293096898251	0.7863686242306996	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.8766346538481777	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.161991499134313		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.7349045413380918	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.0867583429341136	0.08780426784092842	0.09738848536525611	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.989429175475687	0.9846469543979637	0.9907608612004464	PASS	0.9503939065052819	0.9194425302777134	0.9665214998459162	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
FM05	legacy_fm	32821	39	0.9916375980083038	0.8225408815112774	0.7846153846153847	0.9009287925696594	0.9220852425816934	0.9348753996271122	0.9220852425816934	0.9348753996271122	valid	measurable	positive_study_family_outer_stability_with_technical_route_concordance_and_null_separation	3752.0	0.829448427389475	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.2819804742368186		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.7201606284825005	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.06611180245797468	-0.08956233683537282	-0.012770202000850201	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.9928358933883794	0.9904339024573167	0.9940478225753971	PASS	0.9577378785564631	0.9305700211986623	0.9818429753699875	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
FM06	legacy_fm	32821	39	0.8462023840174258	0.8531884383945099	0.7999999999999999	0.8952569169960475					valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.9024895327177601	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.2241036508659322		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.832082347539831	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.08121073582061668	0.18174086010756807	0.1600785690882127	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.995042077694906	0.9934579628541915	0.9965596098192782	PASS	0.9420854046535151	0.5627138954275469	0.9773072022053153	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
FM07	legacy_fm	32821	39	0.9991586122902992	0.8788928409417374	0.8210579352104755	0.9159664984617769	0.6307149307118185	0.6159545024167579	0.6307149307118185	0.6159545024167579	valid	joint_representation_with_uncertainty	scoreable_but_stability_or_null_evidence_is_incomplete_or_overlapping	3752.0	0.8902726525142657	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.12710318143850596		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.7723585975086263	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.07173225638621718	0.1719766396630575	0.17851538659406782	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.994247868268082	0.9885683446959932	0.9951163145062984	PASS	0.917692330860687	0.702217926357771	0.9486021562241619	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
FM08	legacy_fm	32821	39	0.917333209150945	0.8929542918115057	0.8266996544345723	0.907142857142857	0.9390692048954687	0.9535191441112353	0.9390692048954687	0.9535191441112353	valid	measurable	positive_study_family_outer_stability_with_technical_route_concordance_and_null_separation	3752.0	0.8745496792679733	CONCORDANT_WITH_RESIDUAL_COMPOSITION_RISK	1697.0	1697.0	13270.0	-0.25225018301161395		native_score	observed_low_quality_state_proxy_not_contamination_causality	OBSERVED_LOW_QUALITY_STATE_PROXY_AVAILABLE	1876.0	44.0	1.0	0.6788554715582963	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.08187356694047805	-0.05432621099523019	0.006624028248800492	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED	0.9887565643930006	0.9871608384062946	0.9914503139864959	PASS	0.9592031768005	0.9485708076716787	0.9806997922726294	6.0	0.0	PASS_DIRECTIONAL_STABILITY			scRNA	scRNA_measurement_only
axis__angiogenesis_endothelial	mechanism_axis	32821	39	1.0								valid	joint_representation_with_uncertainty	vector_components_have_mixed_measurement_evidence																																		3.0	0.0	scRNA	scRNA_measurement_only
axis__apc_ifn_apm	mechanism_axis	32821	39	0.9973190348525469								valid	joint_representation_with_uncertainty	vector_components_have_mixed_measurement_evidence																																		9.0	1.0	scRNA	scRNA_measurement_only
