input_id	normalized_id	resolved_symbol	mapping_source	mapping_status	candidates	n_objects	n_cohorts
ENSG00000227330	ENSG00000227330	ENSG00000227330	gencode_v49	resolved	ENSG00000227330	0	0
ENSG00000227335	ENSG00000227335	IGHJ1P	gencode_v49	resolved	IGHJ1P	0	0
ENSG00000227336	ENSG00000227336	LINC00434	gencode_v49	resolved	LINC00434	0	0
ENSG00000227337.1	ENSG00000227337	RPL23AP43	gencode_v49	resolved	RPL23AP43	1	1
ENSG00000227338	ENSG00000227338	ENSG00000227338	gencode_v49	resolved	ENSG00000227338	0	0
ENSG00000227339.1	ENSG00000227339	THRAP3P1	gencode_v49	resolved	THRAP3P1	1	1
ENSG00000227342	ENSG00000227342	LINC00307	gencode_v49	resolved	LINC00307	0	0
ENSG00000227343.1	ENSG00000227343	RPL15P1	gencode_v49	resolved	RPL15P1	1	1
ENSG00000227345	ENSG00000227345	PARG	gencode_v49	resolved	PARG	0	0
ENSG00000227345.8	ENSG00000227345	PARG	gencode_v49	resolved	PARG	1	1
ENSG00000227352	ENSG00000227352	ARHGEF7-AS1	gencode_v49	resolved	ARHGEF7-AS1	0	0
ENSG00000227354	ENSG00000227354	RBM26-AS1	gencode_v49	resolved	RBM26-AS1	0	0
ENSG00000227355	ENSG00000227355	ENSG00000227355	gencode_v49	resolved	ENSG00000227355	0	0
ENSG00000227356	ENSG00000227356	GOLGA7B-DT	gencode_v49	resolved	GOLGA7B-DT	0	0
ENSG00000227359	ENSG00000227359	LINC02936	gencode_v49	resolved	LINC02936	0	0
ENSG00000227360	ENSG00000227360	ENSG00000227360	gencode_v49	resolved	ENSG00000227360	0	0
ENSG00000227361.1	ENSG00000227361	RPS24P7	gencode_v49	resolved	RPS24P7	1	1
ENSG00000227364	ENSG00000227364	ENSG00000227364	gencode_v49	resolved	ENSG00000227364	0	0
ENSG00000227365	ENSG00000227365	ENSG00000227365	gencode_v49	resolved	ENSG00000227365	0	0
ENSG00000227370.1	ENSG00000227370	ENSG00000227370	gencode_v49	resolved	ENSG00000227370	1	1
ENSG00000227372	ENSG00000227372	GFOD3P	gencode_v49	resolved	GFOD3P	0	0
ENSG00000227372.12	ENSG00000227372	GFOD3P	gencode_v49	resolved	GFOD3P	1	1
ENSG00000227373	ENSG00000227373	RABGAP1L-DT	gencode_v49	resolved	RABGAP1L-DT	0	0
ENSG00000227374	ENSG00000227374	ENSG00000227374	gencode_v49	resolved	ENSG00000227374	0	0
ENSG00000227375	ENSG00000227375	DLG1-AS1	gencode_v49	resolved	DLG1-AS1	0	0
ENSG00000227376.1	ENSG00000227376	FTH1P16	gencode_v49	resolved	FTH1P16	1	1
ENSG00000227379.2	ENSG00000227379	PPIAP2	gencode_v49	resolved	PPIAP2	1	1
ENSG00000227382.1	ENSG00000227382	EIF4A2P2	gencode_v49	resolved	EIF4A2P2	1	1
ENSG00000227386	ENSG00000227386	ENSG00000227386	gencode_v49	resolved	ENSG00000227386	0	0
ENSG00000227388	ENSG00000227388	ENSG00000227388	gencode_v49	resolved	ENSG00000227388	0	0
ENSG00000227392	ENSG00000227392	HPN-AS1	gencode_v49	resolved	HPN-AS1	0	0
ENSG00000227398	ENSG00000227398	KIF9-AS1	gencode_v49	resolved	KIF9-AS1	0	0
ENSG00000227399.1	ENSG00000227399	RPL21P82	gencode_v49	resolved	RPL21P82	1	1
ENSG00000227400	ENSG00000227400	ENSG00000227400	gencode_v49	resolved	ENSG00000227400	0	0
ENSG00000227401.1	ENSG00000227401	RPL37P1	gencode_v49	resolved	RPL37P1	1	1
ENSG00000227403	ENSG00000227403	LINC01806	gencode_v49	resolved	LINC01806	0	0
ENSG00000227407	ENSG00000227407	ENSG00000227407	gencode_v49	resolved	ENSG00000227407	0	0
ENSG00000227409	ENSG00000227409	ZMYM4-AS1	gencode_v49	resolved	ZMYM4-AS1	0	0
ENSG00000227412.1	ENSG00000227412	STK33P1	gencode_v49	resolved	STK33P1	1	1
ENSG00000227418	ENSG00000227418	PCGEM1	gencode_v49	resolved	PCGEM1	0	0
ENSG00000227421	ENSG00000227421	LINC01724	gencode_v49	resolved	LINC01724	0	0
ENSG00000227431	ENSG00000227431	CSE1L-DT	gencode_v49	resolved	CSE1L-DT	0	0
ENSG00000227432	ENSG00000227432	ASIC4-AS1	gencode_v49	resolved	ASIC4-AS1	0	0
ENSG00000227437.1	ENSG00000227437	RPS8P4	gencode_v49	resolved	RPS8P4	1	1
ENSG00000227438	ENSG00000227438	COL6A2-DT	gencode_v49	resolved	COL6A2-DT	0	0
ENSG00000227439	ENSG00000227439	TTTY17B	gencode_v49	resolved	TTTY17B	0	0
ENSG00000227440.1	ENSG00000227440	ATP5MC1P4	gencode_v49	resolved	ATP5MC1P4	1	1
ENSG00000227449.8	ENSG00000227449	FGF7P6	gencode_v49	resolved	FGF7P6	1	1
ENSG00000227453.1	ENSG00000227453	HNRNPA1P63	gencode_v49	resolved	HNRNPA1P63	1	1
ENSG00000227454.2	ENSG00000227454	MTND4P30	gencode_v49	resolved	MTND4P30	1	1
ENSG00000227455	ENSG00000227455	ENSG00000227455	gencode_v49	resolved	ENSG00000227455	0	0
ENSG00000227456	ENSG00000227456	LINC00310	gencode_v49	resolved	LINC00310	0	0
ENSG00000227459	ENSG00000227459	ENSG00000227459	gencode_v49	resolved	ENSG00000227459	0	0
ENSG00000227462.1	ENSG00000227462	PSME2P6	gencode_v49	resolved	PSME2P6	1	1
ENSG00000227463	ENSG00000227463	ENSG00000227463	gencode_v49	resolved	ENSG00000227463	0	0
ENSG00000227466	ENSG00000227466	PDE4B-AS1	gencode_v49	resolved	PDE4B-AS1	0	0
ENSG00000227467	ENSG00000227467	LINC01537	gencode_v49	resolved	LINC01537	0	0
ENSG00000227471	ENSG00000227471	AKR1B15	gencode_v49	resolved	AKR1B15	0	0
