cohort_id	study_family	object_id	modality	family_rule
GSE115978	GSE115978	GSE115978::object_1	scRNA	cohort_identity
GSE123813_bcc	GSE123813	GSE123813_bcc::object_1	scRNA	explicit_override
GSE123813_scc	GSE123813	GSE123813_scc::object_1	scRNA	explicit_override
GSE140228_droplet	GSE140228	GSE140228_droplet::object_1	scRNA	explicit_override
GSE149614	GSE149614	GSE149614::object_1	scRNA	cohort_identity
GSE151530	GSE151530	GSE151530::object_1	scRNA	cohort_identity
GSE161801	GSE161801	GSE161801::object_1	scRNA	cohort_identity
GSE169246	GSE169246	GSE169246::object_1	scRNA	cohort_identity
GSE176021	GSE176021	GSE176021::object_1	scRNA	cohort_identity
GSE179994	GSE179994	GSE179994::object_1	scRNA	cohort_identity
GSE189903	GSE189903	GSE189903::object_1	scRNA	cohort_identity
GSE193736	GSE193736	GSE193736::bulkRNAseq_counts	bulk_perturbation	cohort_identity
GSE200996	GSE200996	GSE200996::object_1	scRNA	cohort_identity
GSE205506	GSE205506	GSE205506::object_1	scRNA	cohort_identity
GSE206325	GSE206325	GSE206325::object_1	scRNA	cohort_identity
GSE207422_bulk	GSE207422	GSE207422_bulk::matrix	bulkRNA	paired_source
GSE207422_sc	GSE207422_sc	GSE207422_sc::object_1	scRNA	cohort_identity
GSE225063	GSE225063	GSE225063::object_1	scRNA	cohort_identity
GSE232240	GSE232240	GSE232240::object_1	scRNA	cohort_identity
GSE235863_5pt_cd8	GSE235863_5pt_cd8	GSE235863_5pt_cd8::object_1	scRNA	cohort_identity
GSE235863_9pt_cd45	GSE235863_9pt_cd45	GSE235863_9pt_cd45::object_1	scRNA	cohort_identity
GSE243013	GSE243013	GSE243013::object_1	scRNA	cohort_identity
GSE246613	GSE246613	GSE246613::object_1	scRNA	cohort_identity
GSE249974	GSE249974	GSE249974::object_1	scRNA	cohort_identity
GSE266919	GSE266919	GSE266919::object_1	scRNA	cohort_identity
GSE272734	GSE272734	GSE272734::object_1	scRNA	cohort_identity
GSE272735	GSE272735	GSE272735::object_1	scRNA	cohort_identity
GSE272993	GSE272993	GSE272993::object_1	scRNA	cohort_identity
GSE273718	GSE273718	GSE273718::object_1	scRNA	cohort_identity
GSE284205	GSE284205	GSE284205::object_1	scRNA	cohort_identity
GSE286827	GSE286827	GSE286827::object_1	scRNA	cohort_identity
GSE288199	GSE288199	GSE288199::object_1	scRNA	cohort_identity
GSE301741	GSE301741	GSE301741::object_1	scRNA	cohort_identity
lambrecht_brca_cohort1_cells	LAMBRECHT_BRCA	lambrecht_brca_cohort1_cells::object_1	scRNA	explicit_override
lambrecht_brca_cohort1_dc	LAMBRECHT_BRCA	lambrecht_brca_cohort1_dc::object_1	scRNA	explicit_override
lambrecht_brca_cohort1_myeloid	LAMBRECHT_BRCA	lambrecht_brca_cohort1_myeloid::object_1	scRNA	explicit_override
lambrecht_brca_cohort1_tcell	LAMBRECHT_BRCA	lambrecht_brca_cohort1_tcell::object_1	scRNA	explicit_override
lambrecht_brca_cohort2_cells	LAMBRECHT_BRCA	lambrecht_brca_cohort2_cells::object_1	scRNA	explicit_override
LAMBRECHT_HCC	LAMBRECHT_HCC	lambrecht_hcc::object_1	scRNA	cohort_identity
PRJCA001063	PRJCA001063	PRJCA001063::object_1	scRNA	cohort_identity
TASK01	TASK01	TASK01::object_1	scRNA	cohort_identity
TASK02	TASK02	TASK02::object_1	scRNA	cohort_identity
bi_2021_rcc	bi_2021_rcc	bi_2021_rcc::object_1	scRNA	cohort_identity
krishna_2021_rcc	krishna_2021_rcc	krishna_2021_rcc::object_1	scRNA	cohort_identity
lambrecht_hnscc	lambrecht_hnscc	lambrecht_hnscc::object_1	scRNA	cohort_identity
mendeley_skrx2fz79n	mendeley_skrx2fz79n	mendeley_skrx2fz79n::object_1	scRNA	cohort_identity
