feature_id	heldout_study_family	n_shared_states	state_profile_spearman	diagnostic_status
FM03	GSE301741	13	0.6538461538461539	PASS
FM03	LAMBRECHT_BRCA	20	0.8852952863751326	PASS
FM03	LAMBRECHT_HCC	23	0.6793572519097502	PASS
FM03	PRJCA001063	14	0.9328938538427826	PASS
FM03	TASK01	23	0.9609492029194248	PASS
FM03	TASK02	23	0.9550174177162186	PASS
FM03	bi_2021_rcc	17	0.8513519937883076	PASS
FM03	krishna_2021_rcc	8	0.9285714285714287	PASS
FM03	lambrecht_hnscc	23	0.8744438952051409	PASS
FM03	mendeley_skrx2fz79n	4	0.316227766016838	PASS
FM04	GSE115978	23	0.8892734650473485	PASS
FM04	GSE123813	23	0.9693675889328063	PASS
FM04	GSE140228	21	0.9246753246753248	PASS
FM04	GSE149614	10	0.9878787878787878	PASS
FM04	GSE151530	23	0.9644094109546286	PASS
FM04	GSE161801	8	0.7619047619047621	PASS
FM04	GSE169246	23	0.8665349551017241	PASS
FM04	GSE176021	13	0.40659340659340654	PASS
FM04	GSE179994	4	0.7999999999999999	PASS
FM04	GSE189903	23	0.8922393576489516	PASS
FM04	GSE200996	3	-1.0	PASS
FM04	GSE205506	23	0.8961938811177557	PASS
FM04	GSE206325	8	0.8333333333333335	PASS
FM04	GSE207422_sc	8	0.9285714285714287	PASS
FM04	GSE225063	8	-0.2142857142857143	PASS
FM04	GSE232240	13	0.6978021978021978	PASS
FM04	GSE235863_5pt_cd8	2		NOT_TESTABLE
FM04	GSE235863_9pt_cd45	17	0.948529411764706	PASS
FM04	GSE243013	15	0.8821428571428571	PASS
FM04	GSE246613	10	0.9515151515151514	PASS
FM04	GSE249974	23	0.880375787242539	PASS
FM04	GSE266919	18	0.890608875128999	PASS
FM04	GSE272734	2		NOT_TESTABLE
FM04	GSE272735	8	0.4761904761904762	PASS
FM04	GSE272993	8	0.07142857142857144	PASS
FM04	GSE273718	8	0.4285714285714286	PASS
FM04	GSE284205	23	0.827978351280883	PASS
FM04	GSE286827	23	0.9139892367273748	PASS
FM04	GSE288199	8	0.09523809523809526	PASS
FM04	GSE301741	13	0.9340659340659341	PASS
FM04	LAMBRECHT_BRCA	20	0.9559985632818976	PASS
FM04	LAMBRECHT_HCC	23	0.24666340136666307	PASS
FM04	PRJCA001063	14	0.7626373626373627	PASS
FM04	TASK01	23	0.9495799479466128	PASS
FM04	TASK02	23	0.9130006058601737	PASS
FM04	bi_2021_rcc	17	0.8606521654353503	PASS
FM04	krishna_2021_rcc	8	0.9523809523809524	PASS
FM04	lambrecht_hnscc	23	0.9478626432188848	PASS
