feature_id	n_patient_timepoints	n_cohorts	n_platforms	cohort_eta_squared	cohort_status	platform_eta_squared	platform_status	tissue_eta_squared_context_only	library_size_spearman	n_cells_spearman	residualization	status
mechanism__apc_ifn_apm__reactome_mhc_i	1876	44	1	0.45995537043801205	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.052484099842481244	0.5128897415052758	0.5198667584648731	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__apc_ifn_apm__reactome_mhc_ii	1876	44	1	0.5916158840253782	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.071423292071491	0.44581564639412163	0.42904296688911336	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__caf_ecm__curated_stromal_tgfb	1876	44	1	0.735941832965058	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.12187967692506467	0.2758050537813753	0.28182495915743994	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__caf_ecm__hallmark_emt	1876	44	1	0.7522344005416216	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.12495996972387916	0.35393554323191995	0.3389702819962308	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__caf_ecm__reactome_ecm	1876	44	1	0.7384380699330669	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.08776136291803845	0.39534278723481114	0.36895937004069884	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__cytotoxic_t_nk__curated_cytotoxicity	1876	44	1	0.775229267288085	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.08851044290572982	0.03166787253087363	0.11380840868929097	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	1876	44	1	0.7997161649921172	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.15775588209525268	0.06083605311682363	0.13187316303823074	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	1876	44	1	0.4975557201840762	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.0528711305506919	0.39006326687745424	0.43346130787975107	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__exhaustion__curated_broad_exhaustion	1876	44	1	0.5019801932973188	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.19057814637152132	0.14241043556573618	0.10935289322456651	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
mechanism__exhaustion__sentinel_progenitor_exhaustion	1876	44	1	0.6057518970785033	COMPUTED_PATIENT_TIMEPOINT_EQUAL_WEIGHT		NOT_TESTABLE_SINGLE_PLATFORM	0.20109144591907785	0.17571386981092355	0.22044179479513545	global_cell_state_level_median_on_native_score	DIAGNOSTIC_NOT_AUTOMATICALLY_REGRESSED
