feature_id	n_profile_genes	observed_coherence_median	observed_coherence_stability_low	observed_coherence_stability_high	observed_coherence_ci_low	observed_coherence_ci_high	matched_null_median	matched_null_permutation_low	matched_null_permutation_high	matched_null_ci_low	matched_null_ci_high	empirical_null_exceedance	null_matching_method	interval_semantics	diagnostic_status
mechanism__cytotoxic_t_nk__curated_cytotoxicity	7	0.9544907274820716	0.8936702261495985	0.9720418461457537	0.8936702261495985	0.9720418461457537	0.2300198133222675	-0.0030036689714021854	0.6656799943891478	-0.0030036689714021854	0.6656799943891478	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	8	0.8904624277456649	0.7991694182742933	0.9173299356505376	0.7991694182742933	0.9173299356505376	0.44400237876759974	0.12497721504301797	0.6964444145718511	0.12497721504301797	0.6964444145718511	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	200												exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	NOT_TESTABLE_INSUFFICIENT_EXACT_MASK_NULLS
mechanism__exhaustion__curated_broad_exhaustion	9	-0.2156707093826867	-0.3196288383969688	-0.06473035754819052	-0.3196288383969688	-0.06473035754819052	0.1920007911745769	-0.3954358287692196	0.4462330533831328	-0.3954358287692196	0.4462330533831328	0.92	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__exhaustion__sentinel_progenitor_exhaustion	8	0.8917543849395372	0.779141364255364	0.9452931305049184	0.779141364255364	0.9452931305049184	0.5483674465361754	-0.12154684184994478	0.8045359942021192	-0.12154684184994478	0.8045359942021192	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__exhaustion__sentinel_terminal_exhaustion	9	0.8952997749439753	0.7524139457191112	0.94712851397998	0.7524139457191112	0.94712851397998	0.5158029543722475	0.1301423257398858	0.7698428376885628	0.1301423257398858	0.7698428376885628	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__hypoxia__curated_hypoxia	7	0.553179482983337	0.3609127570910069	0.7207461264662737	0.3609127570910069	0.7207461264662737	0.6053428756787087	0.43153863013378385	0.7176888329427167	0.43153863013378385	0.7176888329427167	0.78	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__hypoxia__hallmark_hypoxia	200												exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	NOT_TESTABLE_INSUFFICIENT_EXACT_MASK_NULLS
mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	477												exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	NOT_TESTABLE_INSUFFICIENT_EXACT_MASK_NULLS
mechanism__neutrophil_tan_net__sentinel_neutrophil_net	10	0.8987729839486531	0.6149549127185974	0.9709579329710004	0.6149549127185974	0.9709579329710004	0.0746819055857204	-0.1956756096470535	0.4329961951407682	-0.1956756096470535	0.4329961951407682	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__suppressive_myeloid__curated_myeloid_suppression	13	0.698842469476379	0.4562826057733333	0.8204497448815586	0.4562826057733333	0.8204497448815586	-0.30562268771515577	-0.6487635230307955	0.01683885456787662	-0.6487635230307955	0.01683885456787662	0.0	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__tls_b__reactome_bcr	153												exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	NOT_TESTABLE_INSUFFICIENT_EXACT_MASK_NULLS
mechanism__tls_b__sentinel_tls_b	10	0.5244035547087325	0.2014207364828139	0.7456570468798401	0.2014207364828139	0.7456570468798401	0.4439344348527444	0.023709182510505744	0.7394776062701276	0.023709182510505744	0.7394776062701276	0.35	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	42	0.9205105875614419	0.836070752263336	0.9617209463053122	0.836070752263336	0.9617209463053122	0.9012584966422558	0.8003435770352492	0.9436414650753667	0.8003435770352492	0.9436414650753667	0.32	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
mechanism__wnt_beta_catenin__reactome_wnt	317												exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	NOT_TESTABLE_INSUFFICIENT_EXACT_MASK_NULLS
mechanism__wnt_beta_catenin__sentinel_tumor_wnt	8	0.6033906507392705	0.3141955979768525	0.8243884242238451	0.3141955979768525	0.8243884242238451	0.4939199693740978	0.14785531014570685	0.7114328348831365	0.14785531014570685	0.7114328348831365	0.17	exact_observation_mask_nearest_expression_detection	algorithmic_stability_and_permutation_envelopes_not_biological_confidence_intervals	PASS_COMPUTED
