feature_id	null_id	split_half_spearman	n_target_genes	n_null_genes	target_gene_symbols	null_gene_symbols	observation_mask_match	null_matching_method
FM01	10	0.8490788850768863	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
FM01	11	0.6758067061374542	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
FM01	12	0.779558671396927	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
FM01	13	0.677250916146981	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
FM01	14	0.655422654985184	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
FM01	15	0.8064998217385461	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
FM01	16	0.7865631776126993	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
FM01	17	0.886066383396553	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
FM01	18	0.6702414419890473	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
FM01	19	0.8925100966118635	40	40	ANXA1|AREG|BTG2|CCL4|CCL4L2|CCL5|CD3E|CD69|CD7|CD74|CREM|CST7|DDIT4|DNAJA1|DUSP1|DUSP2|FOSB|GZMK|HSPA6|HSPA8|HSPD1|HSPE1|HSPH1|IER2|IL32|IL7R|KLF6|MCL1|MT2A|NR4A1|NR4A2|PPP1R15A|RGCC|RGS1|SAT1|SRSF7|TUBA4A|UBB|ZFP36|ZNF331	RBM3|KDM2A|LIMD2|RBM8A|TAF9|RPS27L|SH3KBP1|EWSR1|LSM3|PTMA|THRAP3|DYNC1H1|COX5A|GPX4|HMGB1|HCLS1|KMT2E|RORA|SYMPK|EEF1D|LITAF|ATP6V0E1|HM13|EMP3|CORO1A|ARHGEF1|HLA-DPA1|CD63|ZFP36L1|BNIP3L|AURKAIP1|LY6E|NDUFAB1|AP2M1|MYL12A|HNRNPC|CORO1B|BTF3|ARPC2|PSMB7	True	exact_observation_mask_nearest_expression_detection
