cohort_id	feature_id	statistic	n_patients	ci_low	ci_high	status
GSE291246	mechanism__angiogenesis_endothelial__hallmark_angiogenesis	moran	2	0.3322708083222018	0.4741194625817806	ESTIMABLE
GSE291246	mechanism__angiogenesis_endothelial__reactome_vegf	moran	2	0.19843755891430884	0.2589698811210846	ESTIMABLE
GSE291246	mechanism__apc_ifn_apm__curated_antigen_presentation	moran	2	0.31445876200412276	0.4839684337634039	ESTIMABLE
GSE291246	mechanism__apc_ifn_apm__curated_apc_dc_activation	moran	2	0.03159942995439589	0.08195198113876671	ESTIMABLE
GSE291246	mechanism__apc_ifn_apm__curated_ifn_response	moran	2	0.02147313346693934	0.022747888621324857	ESTIMABLE
GSE291246	mechanism__apc_ifn_apm__hallmark_ifn_alpha	moran	2	0.2383346053848229	0.3163469756677353	ESTIMABLE
GSE291246	mechanism__apc_ifn_apm__hallmark_ifn_gamma	moran	2	0.3023603173676621	0.4706737244715081	ESTIMABLE
GSE291246	mechanism__apc_ifn_apm__reactome_ifn_alpha_beta	moran	2	0.13353572392434965	0.2188286173883943	ESTIMABLE
GSE291246	mechanism__apc_ifn_apm__reactome_ifn_gamma	moran	2	0.26512959310763057	0.39798826886507843	ESTIMABLE
GSE291246	mechanism__apc_ifn_apm__reactome_mhc_i	moran	2	0.14413135566422586	0.3943943587084588	ESTIMABLE
GSE291246	mechanism__apc_ifn_apm__reactome_mhc_ii	moran	2	0.31639702530622416	0.4515131648131833	ESTIMABLE
GSE291246	mechanism__caf_ecm__curated_stromal_tgfb	moran	2	0.36280079844688906	0.49688254533454546	ESTIMABLE
GSE291246	mechanism__caf_ecm__hallmark_emt	moran	2	0.4159760475332342	0.4587138132141523	ESTIMABLE
GSE291246	mechanism__caf_ecm__reactome_ecm	moran	2	0.44827711764891226	0.4488559806733263	ESTIMABLE
GSE291246	mechanism__cytotoxic_t_nk__curated_cytotoxicity	moran	2	0.1473216413279056	0.15107120339096317	ESTIMABLE
GSE291246	mechanism__cytotoxic_t_nk__curated_nk_cytotoxicity	moran	2	0.06486002709361732	0.07259917829218954	ESTIMABLE
GSE291246	mechanism__cytotoxic_t_nk__hallmark_allograft_rejection	moran	2	0.3817724059007342	0.4551855991138998	ESTIMABLE
GSE291246	mechanism__exhaustion__curated_broad_exhaustion	moran	2	0.01625093070229124	0.02800286861408702	ESTIMABLE
GSE291246	mechanism__exhaustion__sentinel_progenitor_exhaustion	moran	2	0.023051015657748794	0.10579769195658027	ESTIMABLE
GSE291246	mechanism__exhaustion__sentinel_terminal_exhaustion	moran	2	0.13616774167367157	0.1537381365058031	ESTIMABLE
GSE291246	mechanism__hypoxia__curated_hypoxia	moran	0			NOT_ESTIMABLE_TOO_FEW_PATIENTS
GSE291246	mechanism__hypoxia__hallmark_hypoxia	moran	2	0.1293711148905008	0.3037427283582673	ESTIMABLE
GSE291246	mechanism__neutrophil_tan_net__reactome_neutrophil_degranulation	moran	2	0.3471648957928999	0.40786495223131886	ESTIMABLE
GSE291246	mechanism__neutrophil_tan_net__sentinel_neutrophil_net	moran	2	0.08112849941831657	0.49495684940832546	ESTIMABLE
GSE291246	mechanism__suppressive_myeloid__curated_myeloid_suppression	moran	2	0.077005562094182	0.28090411482958566	ESTIMABLE
GSE291246	mechanism__tls_b__reactome_bcr	moran	2	0.12626325368082716	0.5791542768566663	ESTIMABLE
GSE291246	mechanism__tls_b__sentinel_tls_b	moran	2	0.31856410116599326	0.4752709140433895	ESTIMABLE
GSE291246	mechanism__wnt_beta_catenin__hallmark_wnt_beta_catenin	moran	2	0.044262531933656306	0.10856072353346195	ESTIMABLE
GSE291246	mechanism__wnt_beta_catenin__reactome_wnt	moran	2	0.13393492236547413	0.1456222358879093	ESTIMABLE
GSE291246	mechanism__wnt_beta_catenin__sentinel_tumor_wnt	moran	2	0.07087272050314726	0.19007214777742054	ESTIMABLE
HTAN_VANDERBILT_CRC	FM01	moran	3	0.4321437282623197	0.7122097675260729	ESTIMABLE
HTAN_VANDERBILT_CRC	FM02	moran	3	0.45061747718760464	0.8142859639231528	ESTIMABLE
HTAN_VANDERBILT_CRC	FM03	moran	3	0.3015787240506622	0.8056783597459823	ESTIMABLE
HTAN_VANDERBILT_CRC	FM04	moran	3	0.7306657837736009	0.7872738539346926	ESTIMABLE
